servlets.FullTextSearch.doGet [594120637,257645038]
19-Mar-2017 21:21:50.741 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [11115201,4092892]
19-Mar-2017 21:21:50.801 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [5649447,4153741]
19-Mar-2017 21:21:50.851 INFO [http-nio-8080-exec-6] servlets.FullTextSearch.doGet [5232804,2419943]
19-Mar-2017 21:21:50.905 INFO [http-nio-8080-exec-10] servlets.FullTextSearch.doGet [4442154,2756838]
19-Mar-2017 21:21:50.956 INFO [http-nio-8080-exec-4] servlets.FullTextSearch.doGet [5183420,2096850]
19-Mar-2017 21:21:51.021 INFO [http-nio-8080-exec-9] servlets.FullTextSearch.doGet [12254471,3910093]
19-Mar-2017 21:21:51.072 INFO [http-nio-8080-exec-1] servlets.FullTextSearch.doGet [4425016,2982665]
19-Mar-2017 21:21:51.118 INFO [http-nio-8080-exec-8] servlets.FullTextSearch.doGet [2581981,1711622]
19-Mar-2017 21:21:51.163 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [2018277,1132267]
19-Mar-2017 21:21:51.207 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [1967786,1131972]
19-Mar-2017 21:21:51.252 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [3054131,1908009]
19-Mar-2017 21:21:51.297 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2861714,1948300]
19-Mar-2017 21:21:51.348 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [3338199,2311189]
19-Mar-2017 21:21:51.397 INFO [http-nio-8080-exec-10] servlets.FullTextSearch.doGet [2845508,1865592]
19-Mar-2017 21:21:51.444 INFO [http-nio-8080-exec-4] servlets.FullTextSearch.doGet [3435011,2502843]
19-Mar-2017 21:21:51.501 INFO [http-nio-8080-exec-9] servlets.FullTextSearch.doGet [3735367,2036273]
19-Mar-2017 21:21:51.548 INFO [http-nio-8080-exec-1] servlets.FullTextSearch.doGet [2774642,1884876]
19-Mar-2017 21:21:51.592 INFO [http-nio-8080-exec-8] servlets.FullTextSearch.doGet [1651747,1054520]
19-Mar-2017 21:21:51.639 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [3739355,2578196]
19-Mar-2017 21:21:51.694 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [3600039,2710856]
19-Mar-2017 21:21:51.741 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [3862573,3138545]
19-Mar-2017 21:21:51.797 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2668612,2142047]
19-Mar-2017 21:21:51.841 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2029948,1012678]
19-Mar-2017 21:21:51.887 INFO [http-nio-8080-exec-10] servlets.FullTextSearch.doGet [2556836,1835682]
19-Mar-2017 21:21:51.932 INFO [http-nio-8080-exec-4] servlets.FullTextSearch.doGet [1566240,945414]
